Name,Country,Age,Height,Weight,Sex,Date of birth,Place of birth,Sport,Event,Medal_Winner,Gold,Silver,Bronze
Abdullah Waleed Sharbatly,Saudi Arabia,29,,,Male,9/21/1982,London (GBR),Equestrian,"Individual Jumping, Team Jumping, SULTAN",Won,,,0.25
Abdusalam Gadisov,Russian Federation,23,178,84,Male,3/26/1989,DAGESTAN (RUS),Wrestling,Men's 96kg Freestyle,Not Won,,,
Abeba Aregawi,Ethiopia,22,170,52,Female,7/5/1990,Tigray (ETH),Athletics,Women's 1500m,Not Won,,,
Abel Hernandez,Uruguay,21,185,73,Male,8/8/1990,,Football,Men's Football,Not Won,,,
Abel Kiprop Mutai,Kenya,23,187,73,Male,10/2/1988,Nandi (KEN),Athletics,Men's 3000m Steeplechase,Won,,,1
Abel Kirui,Kenya,30,,,Male,4/6/1982,Bomet (KEN),Athletics,Men's Marathon,Not Won,,,
Abhinav Bindra,India,29,,,Male,9/28/1982,DEHRADUN (IND),Shooting,Men's 10m Air Rifle,Not Won,,,
Abigail Edmonds,Great Britain,21,172,70,Female,9/26/1990,Watford (GBR),Canoe Sprint,"Women's Kayak Single (K1) 500m, Women's Kayak Double (K2) 500m",Not Won,,,
Abigail Johnston,United States of America,22,165,61,Female,11/16/1989,UPPER ARLINGTON (USA),Diving,Women's Synchronised 3m Springboard,Won,,0.5,
Abigail Walker,Great Britain,30,175,72,Female,1/29/1982,Glasgow (GBR),Hockey,Women's Hockey,Not Won,,,
Abigel Joo,Hungary,21,183,78,Female,8/6/1990,Budapest (HUN),Judo,Women's -78kg,Not Won,,,
Aboubakr Seddik Lbida,Morocco,32,,,Male,1/26/1980,HAY HASSANI (MAR),Boxing,Men's Bantam (56kg),Not Won,,,
Abouhalima Abouhalima,Egypt,18,153,55,Male,11/19/1993,ALEX (EGY),Wrestling,Men's 55kg Greco-Roman,Not Won,,,
Abraham Acevedo,Paraguay,22,,65,Male,9/12/1989,ASUNCION,Judo,Men's -66kg,Not Won,,,
Abraham Kiplimo,Uganda,23,165,52,Male,4/14/1989,Suam (UGA),Athletics,Men's 5000m,Not Won,,,
Abraham Kiprotich,France,26,177,62,Male,8/17/1985,KAPNYEBERAI (FRA),Athletics,Men's Marathon,Not Won,,,
Abrar Osman Adem,Eritrea,18,168,58,Male,1/1/1994,ADI SHIMAGLE (ERI),Athletics,Men's 5000m,Not Won,,,
Abubaker Kaki,Sudan,23,176,63,Male,6/21/1989,Elmuglad (SUD),Athletics,Men's 800m,Not Won,,,
Adam Brown,Great Britain,23,196,95,Male,1/16/1989,Cambridge (GBR),Swimming,"Men's 50m Freestyle, Men's 100m Freestyle",Not Won,,,
Adam Cwalina,Poland,27,186,82,Male,1/26/1985,CZESTOCHOWA,Badminton,Men's Doubles,Not Won,,,
Adam Gemili,Great Britain,18,,,Male,10/6/1993,London (GBR),Athletics,"Men's 100m, Men's 4 x 100m Relay",Not Won,,,
Adam Gibson,Australia,25,190,95,Male,10/30/1986,,Basketball,Men's Basketball,Not Won,,,
Adam Johnson,Great Britain,25,178,63,Male,7/14/1987,,Football,Men's Football,Not Won,,,
Adam Korol,Poland,37,193,93,Male,8/20/1974,,Rowing,Men's Quadruple Sculls,Not Won,,,
Adam Kszczot,Poland,22,178,68,Male,9/2/1989,OPOCZNO (POL),Athletics,Men's 800m,Not Won,,,
Adam Marosi,Hungary,28,181,75,Male,7/26/1984,Budapest (HUN),Modern Pentathlon,Men's Modern Pentathlon,Not Won,,,
Adam McGeorge,New Zealand,23,181,80,Male,3/30/1989,,Football,Men's Football,Not Won,,,
Adam Nolan,Ireland,25,184,,Male,3/11/1987,Wexford (IRL),Boxing,Men's Welter (69kg),Not Won,,,
Adam Okruashvili,Georgia,23,193,120,Male,1/1/1989,Tbilisi (GEO),Judo,Men's +100kg,Not Won,,,
Adam Pattantyus,Hungary,33,175,71,Male,10/10/1978,NAGYKOROS,Table Tennis,Men's Singles,Not Won,,,
Adam Rutter,Australia,25,173,60,Male,12/24/1986,Sydney (AUS),Athletics,Men's 20km Race Walk,Not Won,,,
Adam Scholefield,Great Britain,27,189,99,Male,5/24/1985,Leeds (GBR),Water Polo,Men's Water Polo,Not Won,,,
Adam Skrodzki,Poland,28,183,77,Male,12/23/1983,,Fencing,Men's Individual Sabre,Not Won,,,
Adam Steinmetz,Hungary,31,198,104,Male,8/11/1980,,Water Polo,Men's Water Polo,Not Won,,,
Adam Thomas,New Zealand,20,189,80,Male,4/1/1992,,Football,Men's Football,Not Won,,,
Adam van Koeverden,Canada,30,182,85,Male,1/29/1982,,Canoe Sprint,Men's Kayak Single (K1) 1000m,Won,,1,
Adam Vella,Australia,41,178,91,Male,6/12/1971,Melbourne (AUS),Shooting,Men's Trap,Not Won,,,
Adam White,Australia,22,203,90,Male,11/8/1989,EVERTON PARK (AUS),Volleyball,Men's Volleyball,Not Won,,,
Adam Wright,United States of America,35,192,88,Male,5/4/1977,,Water Polo,Men's Water Polo,Not Won,,,
Adama Ouedraogo,Burkina Faso,25,177,72,Male,4/3/1987,YOPOUGON    CIV (CIV),Swimming,Men's 50m Freestyle,Not Won,,,
Adaveeshaiah P. Gagan Ullalmath,India,20,,,Male,1/8/1992,BANGALORE KARNATAKA (IND),Swimming,Men's 1500m Freestyle,Not Won,,,
Ade Alleyne-Forte,Trinidad and Tobago,23,180,73,Male,10/11/1988,San Fernando (TRI),Athletics,Men's 4 x 400m Relay,Not Won,,,
Ade Dagunduro,Nigeria,26,195,,Male,5/22/1986,,Basketball,Men's Basketball,Not Won,,,
Adela Sykorova,Czech Republic,25,171,57,Female,2/5/1987,Zlin (CZE),Shooting,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions",Won,,,1
Adelheid Morath,Germany,28,164,52,Female,8/2/1984,TITISEE,Cycling - Mountain Bike,Women's Cross-country,Not Won,,,
Adelina Cojocariu,Romania,23,185,79,Female,9/4/1988,,Rowing,Women's Eight,Not Won,,,
Adelinde Cornelissen,Netherlands,33,170,56,Female,7/8/1979,BEILEN (NED),Equestrian,"Individual Dressage, Team Dressage, PARZIVAL",Won,,1,0.33
Adem Kilicci,Turkey,26,184,,Male,4/18/1986,Agri (TUR),Boxing,Men's Middle (75kg),Not Won,,,
Adenizia Silva,Brazil,25,183,62,Female,12/18/1986,,Volleyball,Women's Volleyball,Not Won,,,
Adil Annani,Morocco,32,172,56,Male,6/30/1980,OLD AMLOUL (MAR),Athletics,Men's Marathon,Not Won,,,
Adil Jelloul,Morocco,30,173,62,Male,7/14/1982,IFRANE (MAR),Cycling - Road,Men's Road Race,Not Won,,,
Adilbek Niyazymbetov,Kazakhstan,23,182,,Male,5/19/1989,,Boxing,Men's Light Heavy (81kg),Not Won,,,
Admir Mehmedi,Switzerland,21,183,75,Male,3/16/1991,,Football,Men's Football,Not Won,,,
Adnan Taess Akkar,Iraq,32,165,78,Male,3/24/1980,WASSIT (IRQ),Athletics,Men's 800m,Not Won,,,
Adnane Tighadouini,Morocco,19,176,70,Male,11/30/1992,,Football,Men's Football,Not Won,,,
Adonia Steryiou,Greece,27,180,59,Female,7/7/1985,AGIOI SARANTA (ALB),Athletics,Women's High Jump,Not Won,,,
Adonis Tsotras,Greece,22,184,95,Male,5/9/1990,Marousi (GRE),Sailing,Men's Star,Not Won,,,
Adrian Crisan,Romania,32,185,86,Male,5/7/1980,Bistrita,Table Tennis,Men's Singles,Not Won,,,
Adrian Gavira Collado,Spain,24,193,90,Male,9/17/1987,,Beach Volleyball,Men's Beach Volleyball,Not Won,,,
Adrian Lopez,Spain,24,183,74,Male,1/8/1988,,Football,Men's Football,Not Won,,,
Adrian Ungur,Romania,27,178,73,Male,1/22/1985,,Tennis,"Men's Singles, Men's Doubles",Not Won,,,
Adrian Edward Zielinksi,Poland,23,170,85,Male,28/03/1989,Naklo Nad Notecia,Weightlifting,Men's +85kg,Won,1,,
Adriana Aparecida da Silva,Brazil,31,,,Female,7/22/1981,CRUZEIRO (BRA),Athletics,Women's Marathon,Not Won,,,
Adriana Araujo,Brazil,30,169,,Female,11/4/1981,Sao Paulo (BRA),Boxing,Women's Light (60kg),Won,,,1
Adriana Kostiw,Brazil,38,170,70,Female,3/16/1974,Sao Paulo (BRA),Sailing,Women's Laser Radial,Not Won,,,
Adrianti Firdasari,Indonesia,25,170,58,Female,12/16/1986,Jakarta,Badminton,Women's Singles,Not Won,,,
Adriatik Hoxha,Albania,22,194,130,Male,3/9/1990,KOLONJE LUSHNJE (ALB),Athletics,Men's Shot Put,Not Won,,,
Adrien Deghelt,Belgium,27,185,77,Male,5/10/1985,NAMUR (BEL),Athletics,Men's 110m Hurdles,Not Won,,,
Adrien Hardy,France,34,197,87,Male,7/30/1978,,Rowing,Men's Quadruple Sculls,Not Won,,,
Adrien Mattenet,France,24,188,75,Male,10/15/1987,EAUBONNE,Table Tennis,Men's Singles,Not Won,,,
Adrien Niyonshuti,Rwanda,25,165,68,Male,1/2/1987,KIGABIRO,Cycling - Mountain Bike,Men's Cross-country,Not Won,,,
Adrienn Toth,Hungary,21,173,58,Female,11/24/1990,Budapest (HUN),Modern Pentathlon,Women's Modern Pentathlon,Not Won,,,
Adrienne Iven Mihamle,Cameroon,29,169,70,Female,3/9/1983,,Football,Women's Football,Not Won,,,
Adrienne Lyle,United States of America,27,180,75,Female,1/2/1985,Coupeville (USA),Equestrian,"Individual Dressage, WIZARD",Not Won,,,
Adrienne Martelli,United States of America,24,185,79,Female,12/3/1987,,Rowing,Women's Quadruple Sculls,Won,,,0.25
Adysangela Moniz,Cape Verde,25,166,105,Female,5/9/1987,ILHA DE SANTIAGO (CPV),Judo,Women's +78kg,Not Won,,,
Adzo Kpossi,Togo,13,158,53,Female,1/25/1999,Lome (TOG),Swimming,Women's 50m Freestyle,Not Won,,,
Afa Ismail,Maldives,18,157,45,Female,11/1/1993,K.MALE (MDV),Athletics,Women's 100m,Not Won,,,
Afanasijs Kuzmins,Latvia,65,178,89,Male,3/22/1947,BIKERNIEKI PARISH (LAT),Shooting,Men's 25m Rapid Fire Pistol,Not Won,,,
Afef Ben Ismail,Tunisia,18,173,60,Female,3/17/1994,Tunis (TUN),Canoe Sprint,"Women's Kayak Single (K1) 200m, Women's Kayak Single (K1) 500m",Not Won,,,
Afgan Bayramov,Azerbaijan,28,167,69,Male,10/14/1983,Baku,Weightlifting,Men's 69kg,Not Won,,,
Afia Charles,Antigua and Barbuda,20,,,Female,7/22/1992,ANTIGUA AND BARBUDA (ANT),Athletics,Women's 400m,Not Won,,,
Afonso Domingos,Portugal,43,174,91,Male,7/29/1969,MOZAMBIQUE (MOZ),Sailing,Men's Star,Not Won,,,
Agata Bednarek,Poland,24,175,57,Female,6/28/1988,SIERADZ (POL),Athletics,Women's 4 x 400m Relay,Not Won,,,
Agnes Mutina,Hungary,24,170,63,Female,4/19/1988,Miskolc (HUN),Swimming,"Women's 200m Freestyle, Women's 4x100m Freestyle Relay, Women's 4x200m Freestyle Relay",Not Won,,,
Agnese Allegrini,Italy,30,162,57,Female,7/3/1982,Roma,Badminton,Women's Singles,Not Won,,,
Agnese Pastare,Latvia,23,179,70,Female,10/27/1988,Riga (LAT),Athletics,Women's 20km Race Walk,Not Won,,,
Agnieszka Dygacz,Poland,27,160,48,Female,7/18/1985,CHORZOW (POL),Athletics,Women's 20km Race Walk,Not Won,,,
Agnieszka Jerzyk,Poland,24,170,58,Female,1/15/1988,LESZNO (POL),Triathlon,Women's Triathlon,Not Won,,,
Agnieszka Nagay,Poland,31,169,61,Female,2/20/1981,Lodz (POL),Shooting,Women's 50m Rifle 3 Positions,Not Won,,,
Agnieszka Skrzypulec,Poland,23,166,56,Female,6/3/1989,Szczecin (POL),Sailing,Women's 470,Not Won,,,
Agustin Mazzilli,Argentina,23,173,77,Male,6/20/1989,,Hockey,Men's Hockey,Not Won,,,
Ahed Jughli,Syrian Arab Republic,30,180,105,Male,1/10/1982,HAMA,Weightlifting,Men's 105kg,Not Won,,,
Ahmad Hazer,Lebanon,22,188,80,Male,9/4/1989,Beirut (LIB),Athletics,Men's 110m Hurdles,Not Won,,,
Ahmad Kh A Al-Molad,Saudi Arabia,24,,,Male,2/16/1988,Jeddah (KSA),Athletics,Men's 110m Hurdles,Not Won,,,
Ahmad Saber Hamcho,Syrian Arab Republic,19,168,72,Male,11/25/1992,Damascus (SYR),Equestrian,"Individual Jumping, WONDERBOY",Not Won,,,
Ahmadreza Talebian,Islamic Republic of Iran,23,185,79,Male,5/19/1989,,Canoe Sprint,Men's Kayak Single (K1) 1000m,Not Won,,,
Ahmed Abd Elgaber,Egypt,22,171,62,Male,7/30/1990,,Football,Men's Football,Not Won,,,
Ahmed Abdulkareem Ahmed,Iraq,20,,,Male,4/28/1992,BAGHDAD (IRQ),Boxing,Men's Welter (69kg),Not Won,,,
Ahmed Al Hatmi,Oman,27,170,70,Male,11/27/1984,AL RUSTAQ (OMA),Shooting,Men's Double Trap,Not Won,,,
Ahmed Ali Al Abri,United Arab Emirates,22,171,72,Male,1/28/1990,,Football,Men's Football,Not Won,,,
Ahmed Awad,Egypt,25,165,66,Male,1/1/1987,SHARKIA (EGY),Judo,Men's -66kg,Not Won,,,
Ahmed Barki,Morocco,32,,,Male,3/16/1980,HAY HASSANI (MAR),Boxing,Men's Light Heavy (81kg),Not Won,,,
Ahmed El-Nemr,Egypt,33,183,84,Male,11/21/1978,Cairo,Archery,Men's Individual,Not Won,,,
Ahmed Elshenawi,Egypt,21,189,83,Male,5/14/1991,,Football,Men's Football,Not Won,,,
Ahmed Fathi Ibrahim,Egypt,27,174,76,Male,11/10/1984,,Football,Men's Football,Not Won,,,
Ahmed Gebrel,Palestine,21,180,73,Male,1/22/1991,Cairo (EGY),Swimming,Men's 400m Freestyle,Not Won,,,
Ahmed Ghithe G Atari,Qatar,18,179,70,Male,5/2/1994,Qatar (QAT),Swimming,Men's 400m Individual Medley,Not Won,,,
Ahmed Habash,Egypt,28,178,79,Male,4/26/1984,GIZA (EGY),Sailing,Men's RS-X,Not Won,,,
Ahmed Hegazi,Egypt,21,196,94,Male,1/25/1991,,Football,Men's Football,Not Won,,,
Ahmed Husam,Maldives,16,175,56,Male,11/14/1995,TH.KIBIDHOO (MDV),Swimming,Men's 100m Freestyle,Not Won,,,
Ahmed Kadhi,Tunisia,23,198,97,Male,4/19/1989,Tunis (TUN),Volleyball,Men's Volleyball,Not Won,,,
Ahmed Khalil Al Junaibi,United Arab Emirates,21,178,75,Male,6/8/1991,,Football,Men's Football,Not Won,,,
Ahmed Magdy,Egypt,22,172,68,Male,12/9/1989,,Football,Men's Football,Not Won,,,
Ahmed Mathlouthi,Tunisia,22,190,90,Male,12/18/1989,Tunis (TUN),Swimming,Men's 200m Freestyle,Not Won,,,
Ahmed Mejri,Tunisia,22,172,,Male,1/2/1990,Tunis (TUN),Boxing,Men's Light (60kg),Not Won,,,
Ahmed Mohamed Al-Merjabi,Oman,21,170,65,Male,9/9/1990,Ibra (OMA),Athletics,Men's 400m,Not Won,,,
Ahmed Saad,Egypt,25,158,62,Male,11/1/1986,FAYOUM,Weightlifting,Men's 62kg,Not Won,,,
Ahmed Saleh,Egypt,32,179,84,Male,11/14/1979,GIZA (EGY),Table Tennis,Men's Team,Not Won,,,
Ahmed Yousef Elkawiseh,Libya,23,172,66,Male,3/24/1989,Tripoli,Judo,Men's -66kg,Not Won,,,
Ahmed Zaher,Egypt,22,172,72,Male,12/13/1989,GIZA (EGY),Shooting,Men's Trap,Not Won,,,
Ahmet Akdilek,Turkey,24,178,67,Male,3/10/1988,KARAMAN (TUR),Cycling - Road,"Men's Individual Time Trial, Men's Road Race",Not Won,,,
Ahmet Peker,Turkey,26,160,55,Male,12/4/1985,ISKILIP (TUR),Wrestling,Men's 55kg Freestyle,Not Won,,,
Ahreum Na,Republic of Korea,22,162,58,Female,3/24/1990,Jeonbuk (KOR),Cycling - Road,Women's Road Race,Not Won,,,
Ai Fukuhara,Japan,23,156,48,Female,11/1/1988,SENDAI,Table Tennis,"Women's Singles, Women's Team",Not Won,,,
Ai Kondo,Japan,31,160,58,Female,11/5/1980,SAGAMIHARA (JPN),Sailing,Women's 470,Not Won,,,
Ai Murakami,Japan,27,158,53,Female,3/18/1985,OYABE (JPN),Hockey,Women's Hockey,Not Won,,,
Ai Otomo,Japan,30,184,68,Female,3/24/1982,SENDAI (JPN),Volleyball,Women's Volleyball,Not Won,,,
Ai Wen Yu,Taipei (Chinese Taipei),16,155,53,Female,12/27/1995,TAOYUAN (TPE),Shooting,Women's 10m Air Pistol,Not Won,,,
Aia Mohamed,Qatar,18,161,57,Female,8/1/1994,Egypt,Table Tennis,Women's Singles,Not Won,,,
Aicha Fall,Mauritania,18,160,46,Female,12/31/1993,NOUAKCHOT (MTN),Athletics,Women's 800m,Not Won,,,
Aichen Wang,People's Republic of China,27,187,74,Male,3/28/1985,Liaoning (CHN),Sailing,Men's RS-X,Not Won,,,
Aida Mohamed,Hungary,36,162,56,Female,3/12/1976,,Fencing,Women's Individual Foil,Not Won,,,
Aida Roman,Mexico,24,168,61,Female,5/21/1988,Mexico D.F.,Archery,"Women's Individual, Women's Team",Won,,1,
Aida Shanaeva,Russian Federation,26,178,68,Female,4/23/1986,,Fencing,"Women's Individual Foil, Women's Team Foil",Not Won,,,
Aidan Roach,Australia,21,186,92,Male,9/7/1990,,Water Polo,Men's Water Polo,Not Won,,,
Aidan Zingel,Australia,21,207,98,Male,11/19/1990,WOLLONGONG (AUS),Volleyball,Men's Volleyball,Not Won,,,
Aiga Grabuste,Latvia,24,178,55,Female,3/24/1988,Rezekne (LAT),Athletics,Women's Heptathlon,Not Won,,,
Aika Hakoyama,Japan,21,176,,Female,7/27/1991,Nagano (JPN),Synchronised Swimming,Women's Teams,Not Won,,,
Aileen Morrison,Ireland,30,172,54,Female,6/15/1982,Derry (IRL),Triathlon,Women's Triathlon,Not Won,,,
Aimee Willmott,Great Britain,19,172,56,Female,2/26/1993,MIDDLESBROUGH (GBR),Swimming,Women's 400m Individual Medley,Not Won,,,
Aina Fils Rabetsara,Madagascar,18,167,55,Female,5/29/1994,ANTSIRABE (MAD),Swimming,Women's 100m Freestyle,Not Won,,,
Ainars Kovals,Latvia,30,191,100,Male,11/21/1981,Riga (LAT),Athletics,Men's Javelin Throw,Not Won,,,
Ainhoa Murua,Spain,34,160,46,Female,7/18/1978,Zarautz (ESP),Triathlon,Women's Triathlon,Not Won,,,
Airi Hatakeyama,Japan,17,170,,Female,8/16/1994,TAMA (JPN),Gymnastics - Rhythmic,Group All-Around,Not Won,,,
Airine Palsyte,Lithuania,20,186,62,Female,7/13/1992,Kaunas (LTU),Athletics,Women's High Jump,Not Won,,,
Aisling D'hooghe,Belgium,17,169,63,Female,8/25/1994,Uccle (BEL),Hockey,Women's Hockey,Not Won,,,
Aissata Toure,Guinea,21,164,57,Female,9/18/1990,CONAKRY (GUI),Athletics,Women's 100m,Not Won,,,
Aisuluu Tynybekova,Kyrgyzstan,19,170,63,Female,5/4/1993,Bishkek (KGZ),Wrestling,Women's 63kg Freestyle,Not Won,,,
Ajara Nchout,Cameroon,19,164,65,Female,1/12/1993,,Football,Women's Football,Not Won,,,
Ajmal Faisal,Afghanistan,21,160,,Male,8/14/1990,Kabul (AFG),Boxing,Men's Fly (52kg),Not Won,,,
Ajmal Faizzada,Afghanistan,25,173,66,Male,5/20/1987,Kabul (AFG),Judo,Men's -66kg,Not Won,,,
Ak Hafiy Tajuddin Rositi,Brunei Darussalam,21,175,64,Male,7/4/1991,BANDAR SERI BEGAWAN (BRU),Athletics,Men's 400m,Not Won,,,
Akane Shibata,Japan,24,152,50,Female,4/30/1988,NIKKO (JPN),Hockey,Women's Hockey,Not Won,,,
Akari Ogata,Japan,21,171,76,Female,9/24/1990,UKI (JPN),Judo,Women's -78kg,Not Won,,,
Akeem Haynes,Canada,20,168,150,Male,3/11/1992,Westmoreland (JAM),Athletics,Men's 4 x 100m Relay,Not Won,,,
Akemi Kato,Japan,41,161,58,Female,12/13/1970,CHICHIBU (JPN),Hockey,Women's Hockey,Not Won,,,
Aki Mitsuhashi,Japan,22,166,55,Female,9/12/1989,KURIHARA (JPN),Hockey,Women's Hockey,Not Won,,,
Akihiko Nakamura,Japan,21,180,73,Male,10/23/1990,Nagoya (JPN),Athletics,Men's 400m Hurdles,Not Won,,,
Akihiro Hayashi,Japan,25,194,90,Male,5/7/1987,,Football,Men's Football,Not Won,,,
Akiko Iwamoto,Japan,33,173,60,Female,9/25/1978,,Rowing,Women's Lightweight Double Sculls,Not Won,,,
Akmal Irgashev,Uzbekistan,29,185,,Male,12/16/1982,FERGANA REGION (UZB),Taekwondo,Men's +80kg,Not Won,,,
Akos Molnar,Hungary,25,194,90,Male,7/22/1987,Szeged (HUN),Swimming,Men's 200m Breaststroke,Not Won,,,
Aksana Dziamidava,Belarus,18,167,54,Female,12/23/1993,Minsk (BLR),Swimming,Women's 4x100m Freestyle Relay,Not Won,,,
Aksana Miankova,Belarus,30,184,81,Female,3/28/1982,KRICHEV (BLR),Athletics,Women's Hammer Throw,Not Won,,,
Aksana Papko,Belarus,23,162,58,Female,11/16/1988,Grodno (BLR),Cycling - Track,Women's Team Pursuit,Not Won,,,
Akvile Stapusaityte,Lithuania,26,166,56,Female,3/25/1986,TAURAGE,Badminton,Women's Singles,Not Won,,,
Akzhurek Tanatarov,Kazakhstan,25,170,66,Male,9/3/1986,Almaty (KAZ),Wrestling,Men's 66kg Freestyle,Not Won,,,
Al-Farouq Aminu,Nigeria,21,208,,Male,9/21/1990,,Basketball,Men's Basketball,Not Won,,,
Alaaeldin Abouelkassem,Egypt,21,188,82,Male,11/25/1990,,Fencing,"Men's Individual Foil, Men's Team Foil",Won,,1,
Alade Aminu,Nigeria,24,210,,Male,9/14/1987,,Basketball,Men's Basketball,Not Won,,,
Alain Bernard,France,29,196,90,Male,5/1/1983,Aubagne (FRA),Swimming,Men's 4x100m Freestyle Relay,Not Won,,,
Alain Schmitt,France,28,176,81,Male,11/2/1983,FORBACH (FRA),Judo,Men's -81kg,Not Won,,,
Alain Wiss,Switzerland,21,180,73,Male,8/21/1990,,Football,Men's Football,Not Won,,,
Alan Campbell,Great Britain,29,191,96,Male,5/9/1983,,Rowing,Men's Single Sculls,Won,,,1
